key_id,dataset_id,dataset,variable_id,variable,type,description
1,1,commissions,1,key_id,numeric,An ID number that uniquely identifies each observation. Indicates the default sort order for the dataset.
2,1,commissions,2,commission_id,numeric,The ID number that uniquely identifies each Commission.
3,1,commissions,3,commission,string,The name of the Commission.
4,1,commissions,4,full_name,string,The full name of the President of the Commission.
5,1,commissions,5,full_name_latin,string,The full name of the President of the Commission using only basic Latin characters.
6,1,commissions,6,last_name,string,The last name of the President of the Commission.
7,1,commissions,7,last_name_latin,string,The last name of the President of the Commission using only basic Latin characters.
8,1,commissions,8,first_name,string,The first name of the President of the Commission.
9,1,commissions,9,first_name_latin,string,The first name of the President of the Commission using only basic Latin characters.
10,1,commissions,10,member_state_id,numeric,An ID number that uniquely identifies each member state.
11,1,commissions,11,member_state,string,The name of the President of the Commission's member state.
12,1,commissions,12,member_state_code,string,The two-letter code assigned by the Commission to the President of the Commission's member state.
13,1,commissions,13,national_party_code,string,The common abbreviation of the President of the Commission's national political party.
14,1,commissions,14,national_party_name,string,The name of the President of the Commission's national political party in the President's member state's official language.
15,1,commissions,15,national_party_name_english,string,The name of the President of the Commission's national political party in English.
16,1,commissions,16,political_group_code,string,The common abbreviation of the political group.
17,1,commissions,17,political_group_name,string,The name of the President of the Commission's political group.
18,1,commissions,18,start_date,date,The start date of the Commission.
19,1,commissions,19,start_year,numeric,The start year of the Commission.
20,1,commissions,20,start_month,numeric,The start month of the Commission.
21,1,commissions,21,start_day,numeric,The start day of the Commission.
22,1,commissions,22,end_date,date,The end date of the Commission.
23,1,commissions,23,end_year,numeric,The start year of the Commission.
24,1,commissions,24,end_month,numeric,The start month of the Commission.
25,1,commissions,25,end_day,numeric,The end day of the Commission.
26,2,departments,1,key_id,numeric,An ID number that uniquely identifies each observation. Indicates the default sort order for the dataset.
27,2,departments,2,department_id,numeric,An ID number that uniquely identifies each department.
28,2,departments,3,department_name,string,The name of the department.
29,2,departments,4,first_commission_id,numeric,The ID number of the first Commission in which the department appeared. See the {commissions} dataset.
30,2,departments,5,first_commission,string,The first Commission in which the department appeared.
31,2,departments,6,commissions,string,"A list of the Commissions in which the department appeared, separated by a comma. "
32,2,departments,7,count_commissions,numeric,The number of Commissions in which the department appeared.
33,2,departments,8,current_department,dummy,A dummy variable indicating whether the department is a current department under the von der Leyen Commission. Coded {1} if the department is a current department and {0} otherwise. 
34,2,departments,9,department_type_id,numeric,An ID number that uniquely identifies the type of the department. Coded {1} for {Directorate-General} and {2} for {Service department}. See the variable {department_type}.
35,2,departments,10,department_type,string,The type of the department. Either {Directorate-General} or {Service department}.
36,2,departments,11,department_code,string,The common abbreviation of the department. Coded {Not applicable} of there is not an abbreviation for the department. Coded {None} for all Commissions prior to the Prodi Commission.
37,2,departments,12,policy_area,string,The name of the policy area. See the {policy_areas} dataset.
38,2,departments,13,current_department_name,string,The name of the current department. See the {departments} dataset.
39,3,departments_by_commission,1,key_id,numeric,An ID number that uniquely identifies each observation. Indicates the default sort order for the dataset.
40,3,departments_by_commission,2,commission_id,numeric,The ID number that uniquely identifies each Commission. See the {commissions} dataset.
41,3,departments_by_commission,3,commission,string,The name of the Commission. See the {commissions} dataset.
42,3,departments_by_commission,4,start_date,date,The start date of the Commission.
43,3,departments_by_commission,5,start_year,numeric,The start year of the Commission.
44,3,departments_by_commission,6,start_month,numeric,The start month of the Commission.
45,3,departments_by_commission,7,start_day,numeric,The start day of the Commission.
46,3,departments_by_commission,8,end_date,date,The end date of the Commission.
47,3,departments_by_commission,9,end_year,numeric,The start year of the Commission.
48,3,departments_by_commission,10,end_month,numeric,The start month of the Commission.
49,3,departments_by_commission,11,end_day,numeric,The end day of the Commission.
50,3,departments_by_commission,12,department_type_id,numeric,An ID number that uniquely identifies the type of the department. Coded {1} for {Directorate-General} and {2} for {Service department}. See the variable {department_type}.
51,3,departments_by_commission,13,department_type,string,The type of the department. Either {Directorate-General} or {Service department}.
52,3,departments_by_commission,14,department_id,numeric,An ID number that uniquely identifies each department. See the {departments} dataset.
53,3,departments_by_commission,15,department_name,string,The name of the department.
54,3,departments_by_commission,16,department_code,string,The common abbreviation of the department. Coded {Not applicable} of there is not an abbreviation for the department. Coded {None} for all Commissions prior to the Prodi Commission.
55,3,departments_by_commission,17,policy_area,string,The name of the policy area. See the {policy_areas} dataset.
56,3,departments_by_commission,18,current_department_name,string,The name of the current department. See the {departments} dataset.
57,4,commissioners,1,key_id,numeric,An ID number that uniquely identifies each observation. Indicates the default sort order for the dataset.
58,4,commissioners,2,commissioner_id,numeric,An ID number that uniquely identifies each individual who was served as a Commissioner.
59,4,commissioners,3,full_name,string,The full name of the Commissioner.
60,4,commissioners,4,full_name_latin,string,The full name of the Commissioner using only basic Latin characters.
61,4,commissioners,5,last_name,string,The last name of the Commissioner.
