key_id,commission,commission_id,year,department_type,department_type_id,department_name,current_department_name,department_code,number,is_policy,policy_area,source
1,Hallstein I,1,1958,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Annuaire de la Commission des Communauté Économique Européenne (1962)
2,Hallstein I,1,1958,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Annuaire de la Commission des Communauté Économique Européenne (1962)
3,Hallstein I,1,1958,Directorate-General,1,III: Internal Market,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Internal market,Annuaire de la Commission des Communauté Économique Européenne (1962)
4,Hallstein I,1,1958,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Annuaire de la Commission des Communauté Économique Européenne (1962)
5,Hallstein I,1,1958,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Annuaire de la Commission des Communauté Économique Européenne (1962)
6,Hallstein I,1,1958,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Annuaire de la Commission des Communauté Économique Européenne (1962)
7,Hallstein I,1,1958,Directorate-General,1,VII: Transport,Directorate-General for Mobility and Transport,Not applicable,7,1,Transport,Annuaire de la Commission des Communauté Économique Européenne (1962)
8,Hallstein I,1,1958,Directorate-General,1,VIII: Overseas Development,Directorate-General for International Cooperation and Development,Not applicable,8,1,Development,Annuaire de la Commission des Communauté Économique Européenne (1962)
9,Hallstein I,1,1958,Directorate-General,1,IX: Administration,Directorate-General for Human Resources and Security,Not applicable,9,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
10,Hallstein I,1,1958,Service department,2,Legal Service,Legal Service,SJ,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
11,Hallstein I,1,1958,Service department,2,Secretariat,Secretariat-General,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
12,Hallstein I,1,1958,Service department,2,Service for Press and Information,Directorate-General for Communication,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
13,Hallstein I,1,1958,Service department,2,Spokesman’s Group,Directorate-General for Communication,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
14,Hallstein I,1,1958,Service department,2,Statistical Office,Eurostat,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
15,Hallstein II,2,1962,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Annuaire de la Commission des Communauté Économique Européenne (1962)
16,Hallstein II,2,1962,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Annuaire de la Commission des Communauté Économique Européenne (1962)
17,Hallstein II,2,1962,Directorate-General,1,III: Internal Market,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Internal market,Annuaire de la Commission des Communauté Économique Européenne (1962)
18,Hallstein II,2,1962,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Annuaire de la Commission des Communauté Économique Européenne (1962)
19,Hallstein II,2,1962,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Annuaire de la Commission des Communauté Économique Européenne (1962)
20,Hallstein II,2,1962,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Annuaire de la Commission des Communauté Économique Européenne (1962)
21,Hallstein II,2,1962,Directorate-General,1,VII: Transport,Directorate-General for Mobility and Transport,Not applicable,7,1,Transport,Annuaire de la Commission des Communauté Économique Européenne (1962)
22,Hallstein II,2,1962,Directorate-General,1,VIII: Overseas Development,Directorate-General for International Cooperation and Development,Not applicable,8,1,Development,Annuaire de la Commission des Communauté Économique Européenne (1962)
23,Hallstein II,2,1962,Directorate-General,1,IX: Administration,Directorate-General for Human Resources and Security,Not applicable,9,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
24,Hallstein II,2,1962,Service department,2,Legal Service,Legal Service,SJ,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
25,Hallstein II,2,1962,Service department,2,Secretariat,Secretariat-General,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
26,Hallstein II,2,1962,Service department,2,Service for Press and Information,Directorate-General for Communication,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
27,Hallstein II,2,1962,Service department,2,Spokesman’s Group,Directorate-General for Communication,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
28,Hallstein II,2,1962,Service department,2,Statistical Office,Eurostat,None,NA,0,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
29,Rey,3,1968,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Directory of the Commission of the European Communities (1968)
30,Rey,3,1968,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Directory of the Commission of the European Communities (1968)
31,Rey,3,1968,Directorate-General,1,III: Industrial Affairs,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Industrial policy,Directory of the Commission of the European Communities (1968)
32,Rey,3,1968,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Directory of the Commission of the European Communities (1968)
33,Rey,3,1968,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Directory of the Commission of the European Communities (1968)
34,Rey,3,1968,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Directory of the Commission of the European Communities (1968)
35,Rey,3,1968,Directorate-General,1,VII: Transport,Directorate-General for Mobility and Transport,Not applicable,7,1,Transport,Directory of the Commission of the European Communities (1968)
36,Rey,3,1968,Directorate-General,1,VIII: Development Aid,Directorate-General for International Cooperation and Development,Not applicable,8,1,Development,Directory of the Commission of the European Communities (1968)
37,Rey,3,1968,Directorate-General,1,IX: Personnel and Administration,Directorate-General for Human Resources and Security,Not applicable,9,0,None,Directory of the Commission of the European Communities (1968)
38,Rey,3,1968,Directorate-General,1,X: Information,Directorate-General for Communication,Not applicable,10,0,None,Directory of the Commission of the European Communities (1968)
39,Rey,3,1968,Directorate-General,1,XI: External Trade,Directorate-General for Trade,Not applicable,11,1,Trade,Directory of the Commission of the European Communities (1968)
40,Rey,3,1968,Directorate-General,1,XII: General Research and Technology,Directorate-General for Research and Innovation,Not applicable,12,1,Research,Directory of the Commission of the European Communities (1968)
41,Rey,3,1968,Directorate-General,1,XIII: Dissemination of Information,"Directorate-General for Communications Networks, Content and Technology",Not applicable,13,1,Information technology,Directory of the Commission of the European Communities (1968)
42,Rey,3,1968,Directorate-General,1,XIV: Internal Market and Approximation of Legislation,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,14,1,Internal market,Directory of the Commission of the European Communities (1968)
43,Rey,3,1968,Directorate-General,1,XV: Joint Research Center,Joint Research Centre,Not applicable,15,0,None,Directory of the Commission of the European Communities (1968)
44,Rey,3,1968,Directorate-General,1,XVI: Regional Policy,Directorate-General for Regional and Urban Policy,Not applicable,16,1,Regional policy,Directory of the Commission of the European Communities (1968)
45,Rey,3,1968,Directorate-General,1,XVII: Energy,Directorate-General for Energy,Not applicable,17,1,Energy,Directory of the Commission of the European Communities (1968)
46,Rey,3,1968,Directorate-General,1,XVIII: Credit and Investments,Directorate-General for Budget,Not applicable,18,1,Budget,Directory of the Commission of the European Communities (1968)
47,Rey,3,1968,Directorate-General,1,XIX: Budget,Directorate-General for Budget,Not applicable,19,1,Budget,Directory of the Commission of the European Communities (1968)
48,Rey,3,1968,Directorate-General,1,XX: Financial Control,Directorate-General for Budget,Not applicable,20,1,Budget,Directory of the Commission of the European Communities (1968)
49,Rey,3,1968,Service department,2,Legal Service,Legal Service,SJ,NA,0,None,Directory of the Commission of the European Communities (1968)
50,Rey,3,1968,Service department,2,Safeguards and Controls,None,None,NA,0,None,Directory of the Commission of the European Communities (1968)
51,Rey,3,1968,Service department,2,Secretariat,Secretariat-General,None,NA,0,None,Directory of the Commission of the European Communities (1968)
52,Rey,3,1968,Service department,2,Security Office,Directorate-General for Human Resources and Security,None,NA,0,None,Directory of the Commission of the European Communities (1968)
53,Rey,3,1968,Service department,2,Spokesman’s Group,Directorate-General for Communication,None,NA,0,None,Directory of the Commission of the European Communities (1968)
54,Rey,3,1968,Service department,2,Statistical Office,Eurostat,None,NA,0,None,Directory of the Commission of the European Communities (1968)
55,Rey,3,1968,Service department,2,Supply Agency,None,None,NA,0,None,Directory of the Commission of the European Communities (1968)
56,Malfatti,4,1971,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Directory of the Commission of the European Communities (1971)
57,Malfatti,4,1971,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Directory of the Commission of the European Communities (1971)
58,Malfatti,4,1971,Directorate-General,1,"III: Industrial, Technological and Scientific Affairs","Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Industrial policy,Directory of the Commission of the European Communities (1971)
59,Malfatti,4,1971,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Directory of the Commission of the European Communities (1971)
60,Malfatti,4,1971,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Directory of the Commission of the European Communities (1971)
61,Malfatti,4,1971,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Directory of the Commission of the European Communities (1971)
62,Malfatti,4,1971,Directorate-General,1,VII: Transport,Directorate-General for Mobility and Transport,Not applicable,7,1,Transport,Directory of the Commission of the European Communities (1971)
63,Malfatti,4,1971,Directorate-General,1,VIII: Development Aid,Directorate-General for International Cooperation and Development,Not applicable,8,1,Development,Directory of the Commission of the European Communities (1971)
64,Malfatti,4,1971,Directorate-General,1,IX: Personnel and Administration,Directorate-General for Human Resources and Security,Not applicable,9,0,None,Directory of the Commission of the European Communities (1971)
65,Malfatti,4,1971,Directorate-General,1,X: Press and Information,Directorate-General for Communication,Not applicable,10,0,None,Directory of the Commission of the European Communities (1971)
66,Malfatti,4,1971,Directorate-General,1,XI: External Trade,Directorate-General for Trade,Not applicable,11,1,Trade,Directory of the Commission of the European Communities (1971)
67,Malfatti,4,1971,Directorate-General,1,XII: ABOLISHED,None,Not applicable,12,0,None,Directory of the Commission of the European Communities (1971)
68,Malfatti,4,1971,Directorate-General,1,XIII: Dissemination of Information,"Directorate-General for Communications Networks, Content and Technology",Not applicable,13,1,Information technology,Directory of the Commission of the European Communities (1971)
69,Malfatti,4,1971,Directorate-General,1,XIV: Internal Market and Approximation of Legislation,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,14,1,Internal market,Directory of the Commission of the European Communities (1971)
70,Malfatti,4,1971,Directorate-General,1,XV: ABOLISHED,None,Not applicable,15,0,None,Directory of the Commission of the European Communities (1971)
71,Malfatti,4,1971,Directorate-General,1,XVI: Regional Policy,Directorate-General for Regional and Urban Policy,Not applicable,16,1,Regional policy,Directory of the Commission of the European Communities (1971)
72,Malfatti,4,1971,Directorate-General,1,"XVII: Energy, Safeguards and Controls of Euratom",Directorate-General for Energy,Not applicable,17,1,Energy,Directory of the Commission of the European Communities (1971)
73,Malfatti,4,1971,Directorate-General,1,XVIII: Credit and Investments,Directorate-General for Budget,Not applicable,18,1,Budget,Directory of the Commission of the European Communities (1971)
74,Malfatti,4,1971,Directorate-General,1,XIX: Budget,Directorate-General for Budget,Not applicable,19,1,Budget,Directory of the Commission of the European Communities (1971)
75,Malfatti,4,1971,Directorate-General,1,XX: Financial Control,Directorate-General for Budget,Not applicable,20,1,Budget,Directory of the Commission of the European Communities (1971)
76,Malfatti,4,1971,Service department,2,Administration of the Customs Union,Directorate-General for Taxation and Customs Union,ACU,NA,1,Customs union,Directory of the Commission of the European Communities (1971)
77,Malfatti,4,1971,Service department,2,Euratom Supply Agency,None,ESA,NA,0,None,Directory of the Commission of the European Communities (1971)
78,Malfatti,4,1971,Service department,2,Joint Research Centre,Joint Research Centre,JRC,NA,0,None,Directory of the Commission of the European Communities (1971)
79,Malfatti,4,1971,Service department,2,Legal Service,Legal Service,SJ,NA,0,None,Directory of the Commission of the European Communities (1971)
80,Malfatti,4,1971,Service department,2,Office for Official Publications of the European Communities,Publications Office,None,NA,0,None,Directory of the Commission of the European Communities (1971)
81,Malfatti,4,1971,Service department,2,Secretariat,Secretariat-General,None,NA,0,None,Directory of the Commission of the European Communities (1971)
82,Malfatti,4,1971,Service department,2,Security Office,Directorate-General for Human Resources and Security,None,NA,0,None,Directory of the Commission of the European Communities (1971)
83,Malfatti,4,1971,Service department,2,Spokesman’s Group,Directorate-General for Communication,None,NA,0,None,Directory of the Commission of the European Communities (1971)
84,Malfatti,4,1971,Service department,2,Statistical Office,Eurostat,None,NA,0,None,Directory of the Commission of the European Communities (1971)
85,Mansholt,5,1972,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Directory of the Commission of the European Communities (1972)
86,Mansholt,5,1972,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Directory of the Commission of the European Communities (1972)
87,Mansholt,5,1972,Directorate-General,1,"III: Industrial, Technological and Scientific Affairs","Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Industrial policy,Directory of the Commission of the European Communities (1972)
88,Mansholt,5,1972,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Directory of the Commission of the European Communities (1972)
89,Mansholt,5,1972,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Directory of the Commission of the European Communities (1972)
90,Mansholt,5,1972,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Directory of the Commission of the European Communities (1972)
91,Mansholt,5,1972,Directorate-General,1,VII: Transport,Directorate-General for Mobility and Transport,Not applicable,7,1,Transport,Directory of the Commission of the European Communities (1972)
92,Mansholt,5,1972,Directorate-General,1,VIII: Development Aid,Directorate-General for International Cooperation and Development,Not applicable,8,1,Development,Directory of the Commission of the European Communities (1972)
93,Mansholt,5,1972,Directorate-General,1,IX: Personnel and Administration,Directorate-General for Human Resources and Security,Not applicable,9,0,None,Directory of the Commission of the European Communities (1972)
94,Mansholt,5,1972,Directorate-General,1,X: Press and Information,Directorate-General for Communication,Not applicable,10,0,None,Directory of the Commission of the European Communities (1972)
95,Mansholt,5,1972,Directorate-General,1,XI: External Trade,Directorate-General for Trade,Not applicable,11,1,Trade,Directory of the Commission of the European Communities (1972)
96,Mansholt,5,1972,Directorate-General,1,XII: ABOLISHED,None,Not applicable,12,0,None,Directory of the Commission of the European Communities (1972)
97,Mansholt,5,1972,Directorate-General,1,XIII: Dissemination of Information,"Directorate-General for Communications Networks, Content and Technology",Not applicable,13,1,Information technology,Directory of the Commission of the European Communities (1972)
98,Mansholt,5,1972,Directorate-General,1,XIV: Internal Market and Approximation of Legislation,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,14,1,Internal market,Directory of the Commission of the European Communities (1972)
99,Mansholt,5,1972,Directorate-General,1,XV: ABOLISHED,None,Not applicable,15,0,None,Directory of the Commission of the European Communities (1972)
100,Mansholt,5,1972,Directorate-General,1,XVI: Regional Policy,Directorate-General for Regional and Urban Policy,Not applicable,16,1,Regional policy,Directory of the Commission of the European Communities (1972)
101,Mansholt,5,1972,Directorate-General,1,XVII: Energy and Euratom Safeguards,Directorate-General for Energy,Not applicable,17,1,Energy,Directory of the Commission of the European Communities (1972)
102,Mansholt,5,1972,Directorate-General,1,XVIII: Credit and Investments,Directorate-General for Budget,Not applicable,18,1,Budget,Directory of the Commission of the European Communities (1972)
103,Mansholt,5,1972,Directorate-General,1,XIX: Budget,Directorate-General for Budget,Not applicable,19,1,Budget,Directory of the Commission of the European Communities (1972)
104,Mansholt,5,1972,Directorate-General,1,XX: Financial Control,Directorate-General for Budget,Not applicable,20,1,Budget,Directory of the Commission of the European Communities (1972)
105,Mansholt,5,1972,Service department,2,Administration of the Customs Union,Directorate-General for Taxation and Customs Union,ACU,NA,1,Customs union,Directory of the Commission of the European Communities (1972)
106,Mansholt,5,1972,Service department,2,Euratom Supply Agency,None,ESA,NA,0,None,Directory of the Commission of the European Communities (1972)
107,Mansholt,5,1972,Service department,2,Joint Research Centre,Joint Research Centre,JRC,NA,0,None,Directory of the Commission of the European Communities (1972)
108,Mansholt,5,1972,Service department,2,Legal Service,Legal Service,SJ,NA,0,None,Directory of the Commission of the European Communities (1972)
109,Mansholt,5,1972,Service department,2,Office for Official Publications of the European Communities,Publications Office,None,NA,0,None,Directory of the Commission of the European Communities (1972)
110,Mansholt,5,1972,Service department,2,Secretariat,Secretariat-General,None,NA,0,None,Directory of the Commission of the European Communities (1972)
111,Mansholt,5,1972,Service department,2,Security Office,Directorate-General for Human Resources and Security,None,NA,0,None,Directory of the Commission of the European Communities (1972)
112,Mansholt,5,1972,Service department,2,Spokesman’s Group,Directorate-General for Communication,None,NA,0,None,Directory of the Commission of the European Communities (1972)
113,Mansholt,5,1972,Service department,2,Statistical Office,Eurostat,None,NA,0,None,Directory of the Commission of the European Communities (1972)
114,Ortoli,6,1973,Directorate-General,1,I: External Relations,Service for Foreign Policy Instruments,Not applicable,1,1,External relations,Annuaire de la Commission des Communautés Européennes (1973)
115,Ortoli,6,1973,Directorate-General,1,II: Economic and Financial Affairs,Directorate-General for Economic and Financial Affairs,Not applicable,2,1,Economic policy,Annuaire de la Commission des Communautés Européennes (1973)
116,Ortoli,6,1973,Directorate-General,1,III: Industrial and Technological Affairs,"Directorate-General for Internal Market, Industry, Entrepreneurship and SMEs",Not applicable,3,1,Industrial policy,Annuaire de la Commission des Communautés Européennes (1973)
117,Ortoli,6,1973,Directorate-General,1,IV: Competition,Directorate-General for Competition,Not applicable,4,1,Competition,Annuaire de la Commission des Communautés Européennes (1973)
118,Ortoli,6,1973,Directorate-General,1,V: Social Affairs,"Directorate-General for Employment, Social Affairs and Inclusion",Not applicable,5,1,Social policy,Annuaire de la Commission des Communautés Européennes (1973)
119,Ortoli,6,1973,Directorate-General,1,VI: Agriculture,Directorate-General for Agriculture and Rural Development,Not applicable,6,1,Agriculture,Annuaire de la Commission des Communautés Européennes (1973)
