key_id,scheme_id,scheme,code_id,major_code,major_code_topic,minor_code,minor_code_topic,policy_area
1,1,Case law directory (old),1,B-01,Principles and citizenship of the Union,B-01.01,The Community and its institutional structure,None
2,1,Case law directory (old),2,B-01,Principles and citizenship of the Union,B-01.02,Objectives and foundations of the Community,None
3,1,Case law directory (old),3,B-01,Principles and citizenship of the Union,B-01.03,Obligations of the Member States,None
4,1,Case law directory (old),4,B-01,Principles and citizenship of the Union,B-01.04,Coordination of economic policies,None
5,1,Case law directory (old),5,B-01,Principles and citizenship of the Union,B-01.05,Prohibition of discrimination on grounds of nationality,None
6,1,Case law directory (old),6,B-01,Principles and citizenship of the Union,B-01.06,Transitional period,None
7,1,Case law directory (old),7,B-01,Principles and citizenship of the Union,B-01.07,Principle of subsidiaritiy,None
8,1,Case law directory (old),8,B-01,Principles and citizenship of the Union,B-01.08,Citizenship of the Union,None
9,1,Case law directory (old),9,B-01,Principles and citizenship of the Union,B-01.09,"Action to combat discrimination based on sex, racial or ethnic origin, etc.",None
10,1,Case law directory (old),10,B-01,Principles and citizenship of the Union,B-01.10,European Union - Closer cooperation,None
11,1,Case law directory (old),11,B-01,Principles and citizenship of the Union,B-01.11,Services of general economic interest,None
12,1,Case law directory (old),12,B-02,Free movement of goods,B-02.00,General,Customs union
13,1,Case law directory (old),13,B-02,Free movement of goods,B-02.01,Prohibition of customs duties and charges having equivalent effect,Customs union
14,1,Case law directory (old),14,B-02,Free movement of goods,B-02.02,Prohibition of quantitative restrictions and measures having equivalent effect,Customs union
15,1,Case law directory (old),15,B-02,Free movement of goods,B-02.03,State monopolies of a commercial character,Customs union
16,1,Case law directory (old),16,B-02,Free movement of goods,B-02.04,Trade with non-member countries,Customs union
17,1,Case law directory (old),17,B-02,Free movement of goods,B-02.05,Community transit,Customs union
18,1,Case law directory (old),18,B-03,Agriculture,B-03.00,General,Agriculture
19,1,Case law directory (old),19,B-03,Agriculture,B-03.01,Objectives of the common agricultural policy,Agriculture
20,1,Case law directory (old),20,B-03,Agriculture,B-03.02,Formulation and implementation of the common agricultural policy,Agriculture
