last_name,first_name,last_name_latin,first_name_latin,member_state,commission,commission_id,position,political_group_code,political_group_name,national_party_code,national_party_name,national_party_name_english,portfolio,departments,shared,interval,start_date,end_date,start_note,end_note,source
Caron,Giuseppe,Caron,Giuseppe,Italy,Hallstein I,1,Commissioner,None,None,DC,Democrazia Cristiana,Christian Democracy,Internal Market,III: Internal Market,not shared,replacement - end,1959-11-01,1962-01-09,Caron replaced Malvestiti,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Hallstein,Walter,Hallstein,Walter,Germany,Hallstein I,1,President,None,None,CDU,Christlich Demokratische Union,Christian Democratic Union,President,IX: Administration,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Lemaignen,Robert,Lemaignen,Robert,France,Hallstein I,1,Commissioner,None,None,Independent,Independent,Independent,Overseas Development,VIII: Overseas Development,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Levi-Sandri,Lionello,Levi-Sandri,Lionello,Italy,Hallstein I,1,Commissioner,None,None,PSI,Partito Socialista Italiano,Italian Socialist Party,Social Affairs,V: Social Affairs,not shared,replacement - end,1961-02-07,1962-01-09,Levi-Sandri replaced Petrilli,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Malvestiti,Piero,Malvestiti,Piero,Italy,Hallstein I,1,Vice-President,None,None,DC,Democrazia Cristiana,Christian Democracy,Internal Market,III: Internal Market,not shared,start - replacement,1958-01-01,1959-09-01,None,Malvestiti resigned. Replaced by Caron,Annuaire de la Commission des Communauté Économique Européenne (1962)
Mansholt,Sicco,Mansholt,Sicco,Netherlands,Hallstein I,1,Vice-President,None,None,PvdA,Partij van de Arbeid,Labour Party,Agriculture,VI: Agriculture,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Marjolin,Robert,Marjolin,Robert,France,Hallstein I,1,Vice-President,None,None,Independent,Independent,Independent,Economics and Finance,II: Economic and Financial Affairs,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Petrilli,Giuseppe,Petrilli,Giuseppe,Italy,Hallstein I,1,Commissioner,None,None,Independent,Independent,Independent,Social Affairs,V: Social Affairs,not shared,start - replacement,1958-01-01,1960-10-16,None,Petrilli resigned. Replaced by Levi-Sandri,Annuaire de la Commission des Communauté Économique Européenne (1962)
Rasquin,Michel,Rasquin,Michel,Luxembourg,Hallstein I,1,Commissioner,None,None,LSAP,Lëtzebuerger Sozialistesch Aarbechterpartei,Luxembourg Socialist Workers' Party,Transport,VII: Transport,not shared,start - replacement,1958-01-01,1958-04-27,None,Rasquin resigned. Replaced by Schaus,Annuaire de la Commission des Communauté Économique Européenne (1962)
Rey,Jean,Rey,Jean,Belgium,Hallstein I,1,Commissioner,None,None,PVV-PLP,Partij voor Vrijheid en Vooruitgang,Party for Freedom and Progress,External Relations,I: External Relations,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Schaus,Lambert,Schaus,Lambert,Luxembourg,Hallstein I,1,Commissioner,None,None,CVS,Chrëschtlech Sozial Vollekspartei,Christian Social People's Party,Transport,VII: Transport,not shared,replacement - end,1958-06-18,1962-01-09,Schaus replaced Rasquin,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
von der Groeben,Hans,von der Groeben,Hans,Germany,Hallstein I,1,Commissioner,None,None,Independent,Independent,Independent,Competition,IV: Competition,not shared,start - end,1958-01-01,1962-01-09,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Caron,Giuseppe,Caron,Giuseppe,Italy,Hallstein II,2,Vice-President,None,None,DC,Democrazia Cristiana,Christian Democracy,Internal Market,III: Internal Market,not shared,start - replacement,1962-01-10,1963-05-15,None,Caron resigned. Replaced by Colonna di Paliano,Annuaire de la Commission des Communauté Économique Européenne (1962)
Colonna di Paliano,Guido,Colonna di Paliano,Guido,Italy,Hallstein II,2,Commissioner,None,None,Independent,Independent,Independent,Internal Market,III: Internal Market,not shared,replacement - end,1964-07-30,1967-06-30,Colonna di Paliano replaced Caron,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
Hallstein,Walter,Hallstein,Walter,Germany,Hallstein II,2,President,None,None,CDU,Christlich Demokratische Union,Christian Democratic Union,President,IX: Administration,not shared,start - end,1962-01-10,1967-06-30,None,None,Annuaire de la Commission des Communauté Économique Européenne (1962)
